"survey_dt_gmt","polyid","glacier_name","counting_method","num_seals","off_image_count","standard_error","stockid","stockname","survey_date"
2011-07-29 00:19:00,"BF01","Tracy Arm","MOSAIC",984,NA,NA,9,"Lynn Canal/Stephens Passage",2011-07-28
2011-07-30 00:10:00,"BF01","Tracy Arm","MOSAIC",770,NA,NA,9,"Lynn Canal/Stephens Passage",2011-07-29
2013-08-15 23:19:00,"BF01","Tracy Arm","MOSAIC",801,NA,NA,9,"Lynn Canal/Stephens Passage",2013-08-15
2013-08-17 01:41:00,"BF01","Tracy Arm","MOSAIC",687,NA,NA,9,"Lynn Canal/Stephens Passage",2013-08-16
2015-08-14 00:26:00,"BF01","Tracy Arm","MOSAIC",640,NA,NA,9,"Lynn Canal/Stephens Passage",2015-08-13
2015-08-15 23:02:00,"BF01","Tracy Arm","MOSAIC",832,NA,NA,9,"Lynn Canal/Stephens Passage",2015-08-15
2007-08-13 16:26:02,"DF09","Margerie Glacier (Tarr Inlet)","Oblique visual count",0,NA,NA,8,"Glacier Bay/Icy Strait",2007-08-13
2007-08-15 17:31:18,"DF09","Margerie Glacier (Tarr Inlet)","Oblique visual count",14,NA,NA,8,"Glacier Bay/Icy Strait",2007-08-15
2008-07-31 16:13:52,"DF09","Margerie Glacier (Tarr Inlet)","Oblique visual count",0,NA,NA,8,"Glacier Bay/Icy Strait",2008-07-31
2008-08-04 18:43:32,"DF09","Margerie Glacier (Tarr Inlet)","Oblique visual count",1,NA,NA,8,"Glacier Bay/Icy Strait",2008-08-04
2008-08-05 19:39:13,"DF09","Margerie Glacier (Tarr Inlet)","Oblique visual count",4,NA,NA,8,"Glacier Bay/Icy Strait",2008-08-05
2008-08-07 19:50:40,"DF09","Margerie Glacier (Tarr Inlet)","Oblique visual count",1,NA,NA,8,"Glacier Bay/Icy Strait",2008-08-07
2009-08-05 16:45:41,"DF09","Margerie Glacier (Tarr Inlet)","Oblique visual count",1,NA,NA,8,"Glacier Bay/Icy Strait",2009-08-05
2009-08-06 17:24:51,"DF09","Margerie Glacier (Tarr Inlet)","Oblique visual count",0,NA,NA,8,"Glacier Bay/Icy Strait",2009-08-06
2009-08-18 16:37:10,"DF09","Margerie Glacier (Tarr Inlet)","Oblique visual count",0,NA,NA,8,"Glacier Bay/Icy Strait",2009-08-18
2009-08-19 16:25:50,"DF09","Margerie Glacier (Tarr Inlet)","Oblique visual count",5,NA,NA,8,"Glacier Bay/Icy Strait",2009-08-19
2011-08-14 16:53:53,"DF09","Margerie Glacier (Tarr Inlet)","Oblique visual count",0,NA,NA,8,"Glacier Bay/Icy Strait",2011-08-14
2012-08-01 17:29:15,"DF09","Margerie Glacier (Tarr Inlet)","Oblique visual count",0,NA,NA,8,"Glacier Bay/Icy Strait",2012-08-01
2012-08-16 16:31:14,"DF09","Margerie Glacier (Tarr Inlet)","Oblique visual count",0,NA,NA,8,"Glacier Bay/Icy Strait",2012-08-16
2013-08-11 19:28:50,"DF09","Margerie Glacier (Tarr Inlet)","Oblique visual count",0,NA,NA,8,"Glacier Bay/Icy Strait",2013-08-11
2013-08-12 21:33:20,"DF09","Margerie Glacier (Tarr Inlet)","Oblique visual count",0,NA,NA,8,"Glacier Bay/Icy Strait",2013-08-12
2014-08-22 16:55:49,"DF09","Margerie Glacier (Tarr Inlet)","Oblique visual count",0,NA,NA,8,"Glacier Bay/Icy Strait",2014-08-22
2017-08-08 18:40:00,"DF09","Margerie Glacier (Tarr Inlet)","Oblique visual count",0,NA,NA,8,"Glacier Bay/Icy Strait",2017-08-08
2017-08-10 19:15:07,"DF09","Margerie Glacier (Tarr Inlet)","Oblique visual count",0,NA,NA,8,"Glacier Bay/Icy Strait",2017-08-10
2001-08-15 22:55:00,"DF10","John Hopkins Inlet","AeroMap",1634,NA,NA,8,"Glacier Bay/Icy Strait",2001-08-15
2001-08-16 21:18:00,"DF10","John Hopkins Inlet","AeroMap",1254,NA,NA,8,"Glacier Bay/Icy Strait",2001-08-16
2002-08-15 20:30:00,"DF10","John Hopkins Inlet","AeroMap",1672,NA,NA,8,"Glacier Bay/Icy Strait",2002-08-15
2002-09-03 20:24:00,"DF10","John Hopkins Inlet","AeroMap",810,NA,NA,8,"Glacier Bay/Icy Strait",2002-09-03
2007-06-18 23:19:00,"DF10","John Hopkins Inlet","LATTE",3411.764,NA,211.3384,8,"Glacier Bay/Icy Strait",2007-06-18
2007-06-19 22:25:00,"DF10","John Hopkins Inlet","LATTE",4361.766,NA,395.5682,8,"Glacier Bay/Icy Strait",2007-06-19
2007-06-20 22:59:00,"DF10","John Hopkins Inlet","LATTE",2011.969,NA,116.139,8,"Glacier Bay/Icy Strait",2007-06-20
2007-06-21 22:27:00,"DF10","John Hopkins Inlet","LATTE",3187.424,NA,159.4896,8,"Glacier Bay/Icy Strait",2007-06-21
2007-08-13 22:34:00,"DF10","John Hopkins Inlet","LATTE",1075.884,NA,94.82767,8,"Glacier Bay/Icy Strait",2007-08-13
2007-08-15 22:30:00,"DF10","John Hopkins Inlet","LATTE",1687.107,NA,145.4256,8,"Glacier Bay/Icy Strait",2007-08-15
2007-08-17 21:51:00,"DF10","John Hopkins Inlet","LATTE",1541.413,NA,208.0914,8,"Glacier Bay/Icy Strait",2007-08-17
2007-08-22 23:07:00,"DF10","John Hopkins Inlet","LATTE",1617.442,NA,115.0504,8,"Glacier Bay/Icy Strait",2007-08-22
2008-06-25 23:22:00,"DF10","John Hopkins Inlet","LATTE",2119.693,NA,133.2563,8,"Glacier Bay/Icy Strait",2008-06-25
2008-06-29 22:34:00,"DF10","John Hopkins Inlet","LATTE",2139.257,NA,104.5439,8,"Glacier Bay/Icy Strait",2008-06-29
2008-07-10 21:24:00,"DF10","John Hopkins Inlet","LATTE",1566.114,NA,169.7209,8,"Glacier Bay/Icy Strait",2008-07-10
2008-08-11 21:50:00,"DF10","John Hopkins Inlet","LATTE",1675.302,NA,130.9061,8,"Glacier Bay/Icy Strait",2008-08-11
2008-08-15 22:47:00,"DF10","John Hopkins Inlet","LATTE",1693.03,NA,202.5615,8,"Glacier Bay/Icy Strait",2008-08-15
2008-08-17 23:20:00,"DF10","John Hopkins Inlet","LATTE",1764.735,NA,195.8855,8,"Glacier Bay/Icy Strait",2008-08-17
2009-06-20 21:55:00,"DF10","John Hopkins Inlet","LATTE",3245.514,NA,155.3403,8,"Glacier Bay/Icy Strait",2009-06-20
2009-06-21 22:03:00,"DF10","John Hopkins Inlet","LATTE",3066.098,NA,146.1493,8,"Glacier Bay/Icy Strait",2009-06-21
2009-06-23 23:06:00,"DF10","John Hopkins Inlet","LATTE",2747.925,NA,143.0748,8,"Glacier Bay/Icy Strait",2009-06-23
2009-08-10 22:28:00,"DF10","John Hopkins Inlet","LATTE",1930.493,NA,196.8,8,"Glacier Bay/Icy Strait",2009-08-10
2009-08-12 22:20:00,"DF10","John Hopkins Inlet","LATTE",1079.302,NA,76.07161,8,"Glacier Bay/Icy Strait",2009-08-12
2010-06-14 22:22:00,"DF10","John Hopkins Inlet","LATTE",4125.615,NA,279.7978,8,"Glacier Bay/Icy Strait",2010-06-14
